Feature_name,PythonVSCellProfiler,PythonVSMaZda,CellProfilerVSMaZda
AreaShape_Eccentricity,0,NaN,NaN
AreaShape_Extent,0,NaN,NaN
AreaShape_MajorAxisLength,140,NaN,NaN
AreaShape_MinorAxisLength,140,NaN,NaN
AreaShape_Center_X,59,0,79
AreaShape_Center_Y,75,0,63
AreaShape_Area,0,0,0
AreaShape_Perimeter,0,NaN,NaN
EquivDiameter,NaN,NaN,NaN
AreaShape_Orientation,0,NaN,NaN
AreaShape_Solidity,103,NaN,NaN
Bounding_rectangle_BX,NaN,NaN,NaN
Bounding_rectangle_BY,NaN,NaN,NaN
Bounding_rectangle_Width,NaN,NaN,NaN
Bounding_rectangle_Height,NaN,NaN,NaN
AreaShape_EulerNumber,3,NaN,NaN
FilledArea,NaN,NaN,NaN
ConvexArea,NaN,NaN,NaN
Circ,NaN,NaN,NaN
Intensity_MinIntensity,0,NaN,NaN
Intensity_MaxIntensity,140,NaN,NaN
Intensity_StdIntensity,NaN,NaN,NaN
Mode,NaN,NaN,NaN
Intensity_MeanIntensity,140,0,0
Intensity_MedianIntensity,NaN,NaN,0
Skew,NaN,NaN,NaN
Kurt,NaN,NaN,NaN
Texture_Contrast_3_0,140,140,18
Texture_Contrast_3_45,140,140,18
Texture_Contrast_3_90,140,140,18
Texture_Contrast_3_135,140,140,18
Texture_AngularSecondMoment_3_0,140,140,0
Texture_AngularSecondMoment_3_45,140,140,0
Texture_AngularSecondMoment_3_90,140,140,0
Texture_AngularSecondMoment_3_135,140,140,0
Correlation_0,NaN,NaN,NaN
Correlation_45,NaN,NaN,NaN
Correlation_90,NaN,NaN,NaN
Correlation_135,NaN,NaN,NaN
Texture_InverseDifferenceMoment_3_0,7,5,0
Texture_InverseDifferenceMoment_3_45,7,5,0
Texture_InverseDifferenceMoment_3_90,7,5,0
Texture_InverseDifferenceMoment_3_135,7,5,0
Texture_Correlation_3_0,NaN,NaN,8
Texture_Correlation_3_45,NaN,NaN,12
Texture_Correlation_3_90,NaN,NaN,7
Texture_Correlation_3_135,NaN,NaN,13
Texture_DifferenceEntropy_3_0,NaN,NaN,140
Texture_DifferenceEntropy_3_45,NaN,NaN,140
Texture_DifferenceEntropy_3_90,NaN,NaN,140
Texture_DifferenceEntropy_3_135,NaN,NaN,140
Texture_DifferenceVariance_3_0,NaN,NaN,18
Texture_DifferenceVariance_3_45,NaN,NaN,18
Texture_DifferenceVariance_3_90,NaN,NaN,18
Texture_DifferenceVariance_3_135,NaN,NaN,18
Texture_Entropy_3_0,NaN,NaN,140
Texture_Entropy_3_45,NaN,NaN,140
Texture_Entropy_3_90,NaN,NaN,140
Texture_Entropy_3_135,NaN,NaN,140
Texture_SumAverage_3_0,NaN,NaN,18
Texture_SumAverage_3_45,NaN,NaN,18
Texture_SumAverage_3_90,NaN,NaN,18
Texture_SumAverage_3_135,NaN,NaN,18
Texture_SumEntropy_3_0,NaN,NaN,140
Texture_SumEntropy_3_45,NaN,NaN,140
Texture_SumEntropy_3_90,NaN,NaN,140
Texture_SumEntropy_3_135,NaN,NaN,140
Texture_SumVariance_3_0,NaN,NaN,18
Texture_SumVariance_3_45,NaN,NaN,18
Texture_SumVariance_3_90,NaN,NaN,18
Texture_SumVariance_3_135,NaN,NaN,18
Texture_Variance_3_0,NaN,NaN,31
Texture_Variance_3_45,NaN,NaN,40
Texture_Variance_3_90,NaN,NaN,34
Texture_Variance_3_135,NaN,NaN,49
