Feature_name,PythonvsCellProfiler,PythonvsMaZda,CellProfilervsMaZda
AreaShape_Eccentricity,0.1,NaN,NaN
AreaShape_Extent,0,NaN,NaN
AreaShape_MajorAxisLength,0,NaN,NaN
AreaShape_MinorAxisLength,0,NaN,NaN
AreaShape_Center_X,17.2,0,17.2
AreaShape_Center_Y,24.4,0,24.4
AreaShape_Area,0,0,0
AreaShape_Perimeter,1.1,NaN,NaN
EquivDiameter,NaN,NaN,NaN
AreaShape_Orientation,0.9,NaN,NaN
AreaShape_Solidity,8.3,NaN,NaN
Bounding_rectangle_BX,NaN,NaN,NaN
Bounding_rectangle_BY,NaN,NaN,NaN
Bounding_rectangle_Width,NaN,NaN,NaN
Bounding_rectangle_Height,NaN,NaN,NaN
AreaShape_EulerNumber,0.2,NaN,NaN
FilledArea,NaN,NaN,NaN
ConvexArea,NaN,NaN,NaN
Circ,NaN,NaN,NaN
Intensity_MinIntensity,0,NaN,NaN
Intensity_MaxIntensity,0,NaN,NaN
Intensity_StdIntensity,NaN,NaN,NaN
Mode,NaN,NaN,NaN
Intensity_MeanIntensity,0,0,0
Intensity_MedianIntensity,NaN,NaN,0
Skew,NaN,NaN,NaN
Kurt,NaN,NaN,NaN
Texture_Contrast_3_0,37.1,33.5,20
Texture_Contrast_3_45,36.4,33.1,18.3
Texture_Contrast_3_90,34.9,31.7,21
Texture_Contrast_3_135,32.4,34.1,18.7
Texture_AngularSecondMoment_3_0,38.1,38.2,2.4
Texture_AngularSecondMoment_3_45,39.9,40.5,4.1
Texture_AngularSecondMoment_3_90,39.2,38.9,2.4
Texture_AngularSecondMoment_3_135,39.1,38.8,4.9
Correlation_0,NaN,NaN,NaN
Correlation_45,NaN,NaN,NaN
Correlation_90,NaN,NaN,NaN
Correlation_135,NaN,NaN,NaN
Texture_InverseDifferenceMoment_3_0,35.9,36.7,18
Texture_InverseDifferenceMoment_3_45,38,37.7,15.7
Texture_InverseDifferenceMoment_3_90,33.3,35.3,14.6
Texture_InverseDifferenceMoment_3_135,35.4,34.9,15.6
Texture_Correlation_3_0,NaN,NaN,0
Texture_Correlation_3_45,NaN,NaN,2.4
Texture_Correlation_3_90,NaN,NaN,0.7
Texture_Correlation_3_135,NaN,NaN,0
Texture_DifferenceEntropy_3_0,NaN,NaN,17.5
Texture_DifferenceEntropy_3_45,NaN,NaN,21
Texture_DifferenceEntropy_3_90,NaN,NaN,21.7
Texture_DifferenceEntropy_3_135,NaN,NaN,17.2
Texture_DifferenceVariance_3_0,NaN,NaN,17.9
Texture_DifferenceVariance_3_45,NaN,NaN,17
Texture_DifferenceVariance_3_90,NaN,NaN,16.4
Texture_DifferenceVariance_3_135,NaN,NaN,21.9
Texture_Entropy_3_0,NaN,NaN,3.7
Texture_Entropy_3_45,NaN,NaN,4.2
Texture_Entropy_3_90,NaN,NaN,3.7
Texture_Entropy_3_135,NaN,NaN,4.4
Texture_SumAverage_3_0,NaN,NaN,1.7
Texture_SumAverage_3_45,NaN,NaN,1.7
Texture_SumAverage_3_90,NaN,NaN,1.7
Texture_SumAverage_3_135,NaN,NaN,1.7
Texture_SumEntropy_3_0,NaN,NaN,0.9
Texture_SumEntropy_3_45,NaN,NaN,1.3
Texture_SumEntropy_3_90,NaN,NaN,1
Texture_SumEntropy_3_135,NaN,NaN,1
Texture_SumVariance_3_0,NaN,NaN,1.1
Texture_SumVariance_3_45,NaN,NaN,1.2
Texture_SumVariance_3_90,NaN,NaN,1.1
Texture_SumVariance_3_135,NaN,NaN,1.1
Texture_Variance_3_0,NaN,NaN,4.8
Texture_Variance_3_45,NaN,NaN,6.7
Texture_Variance_3_90,NaN,NaN,5.3
Texture_Variance_3_135,NaN,NaN,3.6
